State,Town,Lat,Lon
Ayeyarwady,ဘိုကလေး,16.295,95.3968
Ayeyarwady,ဓနုဖြူ,17.25468,95.59583
Ayeyarwady,ဒေးဒရဲ,16.40806,95.88512
Ayeyarwady,အိမ်မဲ,16.8962,95.1805
Ayeyarwady,ဒူးယား,17.5616,95.4802
Ayeyarwady,ဟင်္သာတ,17.64958,95.45818
Ayeyarwady,တလုတ္ထော်,17.6419,95.3046
Ayeyarwady,ထူးကြီး,17.97132,95.26073
Ayeyarwady,အင်္ဂပူ,17.80981,95.26926
Ayeyarwady,မဲဇလီကုန်း,17.9009,95.2288
Ayeyarwady,ကန်ကြီးထောင့်,16.9329,94.89476
Ayeyarwady,ကျိုက်လတ်,16.44431,95.72614
Ayeyarwady,ဘက်ရဲ,18.30044,95.14703
Ayeyarwady,ကြံခင်း,18.34035,95.23914
Ayeyarwady,ကျောင်းကုန်း,17.10768,95.1904
Ayeyarwady,အထောင်,17.34855,95.33365
Ayeyarwady,ကျုံပျော်,17.3,95.2
Ayeyarwady,ဟိုင်းကြီးကျွန်း,15.82676977,94.80943333
Ayeyarwady,လပွတ္တာ (၃) မိုင်,16.19983,94.78124
Ayeyarwady,လပွတ္တာ,16.14557,94.75889
Ayeyarwady,ပြင်စလူ,15.82676977,94.80943333
Ayeyarwady,လေးမျက်နှာ,17.60038,95.17454
Ayeyarwady,မအူပင်,16.73023,95.6494
Ayeyarwady,မော်လမြိုင်ကျွန်း,16.37894,95.26298
Ayeyarwady,အင်ပင်,18.0935,95.269
Ayeyarwady,ကနောင်,18.21566003,95.38136511
Ayeyarwady,မြန်အောင်,18.28696,95.31779
Ayeyarwady,မြောင်းမြ,16.59926,94.92977
Ayeyarwady,ဟိုင်းကြီးကျွန်း,16.01602,94.34411
Ayeyarwady,ငပုတော,16.54310125,94.69224
Ayeyarwady,ငရုတ်ကောင်း,16.52089,94.3019
Ayeyarwady,ညောင်တုန်း,17.04903,95.63359
Ayeyarwady,ပန်းတနော်,16.98212,95.46595
Ayeyarwady,ချောင်းသာ,16.9597,94.4447
Ayeyarwady,ငွေဆောင်,16.86379,94.38711
Ayeyarwady,ပုသိမ်,16.77924,94.73303
Ayeyarwady,ရွှေသောင်ယံ,17.07674,94.46133
Ayeyarwady,အမာ,15.7994,95.29017
Ayeyarwady,ဖျာပုံ,16.2916097,95.68019333
Ayeyarwady,သာပေါင်း,17.04734,94.80589
Ayeyarwady,ကျုံမငေး,16.43803471,95.13190322
Ayeyarwady,ဝါးခယ်မ,16.60383,95.18041
Ayeyarwady,အသုတ်,17.19974,95.08331
Ayeyarwady,ငသိုင်းချောင်း,17.39927,95.07731
Ayeyarwady,ရေကြည်,17.34456,95.12067
Ayeyarwady,ဇလွန်,17.4781,95.55666
Bago (East),ပဲခူး,17.33583,96.48389
Bago (East),ဘုရားကြီး,17.47538,96.52654
Bago (East),အင်းတကော်,17.18087,96.37637
Bago (East),ဒိုက်ဦး,17.78967,96.66969
Bago (East),ထန်းတပင်,18.84329759,96.48375879
Bago (East),ကဝ,17.08967,96.46632
Bago (East),သက္ကလ,17.02939,96.59657
Bago (East),ကျောက်ကြီး,18.32764003,96.76861742
Bago (East),ဖဒို,18.0377,96.5549
Bago (East),ကျောက်တံခါး,18.15867,96.61391
Bago (East),ပဲနွယ်ကုန်း,18.22271,96.56886
Bago (East),မဒေါက်,17.91491,96.84535
