SRName,TownName,Latitude,Longitude
ဧရာဝတီ,ဘိုကလေး,16.295,95.3968
ဧရာဝတီ,ဓနုဖြူ,17.25468,95.59583
ဧရာဝတီ,ဒေးဒရဲ,16.40806,95.88512
ဧရာဝတီ,အိမ်မဲ,16.8962,95.1805
ဧရာဝတီ,ဒူးယား,17.5616,95.4802
ဧရာဝတီ,ဟင်္သာတ,17.64958,95.45818
ဧရာဝတီ,တလုတ္ထော်,17.6419,95.3046
ဧရာဝတီ,ထူးကြီး,17.97132,95.26073
ဧရာဝတီ,အင်္ဂပူ,17.80981,95.26926
ဧရာဝတီ,မဲဇလီကုန်း,17.9009,95.2288
ဧရာဝတီ,ကန်ကြီးထောင့်,16.9329,94.89476
ဧရာဝတီ,ကျိုက်လတ်,16.44431,95.72614
ဧရာဝတီ,ဘက်ရဲ,18.30044,95.14703
ဧရာဝတီ,ကြံခင်း,18.34035,95.23914
ဧရာဝတီ,ကျောင်းကုန်း,17.10768,95.1904
ဧရာဝတီ,အထောင်,17.34855,95.33365
ဧရာဝတီ,ကျုံပျော်,17.3,95.2
ဧရာဝတီ,ဟိုင်းကြီးကျွန်း,15.82677,94.80943
ဧရာဝတီ,လပွတ္တာ (၃) မိုင်,16.19983,94.78124
ဧရာဝတီ,လပွတ္တာ,16.14557,94.75889
ဧရာဝတီ,ပြင်စလူ,15.82677,94.80943
ဧရာဝတီ,လေးမျက်နှာ,17.60038,95.17454
ဧရာဝတီ,မအူပင်,16.73023,95.6494
ဧရာဝတီ,မော်လမြိုင်ကျွန်း,16.37894,95.26298
ဧရာဝတီ,အင်ပင်,18.0935,95.269
ဧရာဝတီ,ကနောင်,18.21566,95.38137
ဧရာဝတီ,မြန်အောင်,18.28696,95.31779
ဧရာဝတီ,မြောင်းမြ,16.59926,94.92977
ဧရာဝတီ,ဟိုင်းကြီးကျွန်း,16.01602,94.34411
ဧရာဝတီ,ငပုတော,16.5431,94.69224
ဧရာဝတီ,ငရုတ်ကောင်း,16.52089,94.3019
ဧရာဝတီ,ညောင်တုန်း,17.04903,95.63359
ဧရာဝတီ,ပန်းတနော်,16.98212,95.46595
ဧရာဝတီ,ချောင်းသာ,16.9597,94.4447
ဧရာဝတီ,ငွေဆောင်,16.86379,94.38711
ဧရာဝတီ,ပုသိမ်,16.77924,94.73303
ဧရာဝတီ,ရွှေသောင်ယံ,17.07674,94.46133
ဧရာဝတီ,အမာ,15.7994,95.29017
ဧရာဝတီ,ဖျာပုံ,16.29161,95.68019
ဧရာဝတီ,သာပေါင်း,17.04734,94.80589
ဧရာဝတီ,ကျုံမငေး,16.43803,95.1319
ဧရာဝတီ,ဝါးခယ်မ,16.60383,95.18041
ဧရာဝတီ,အသုတ်,17.19974,95.08331
ဧရာဝတီ,ငသိုင်းချောင်း,17.39927,95.07731
ဧရာဝတီ,ရေကြည်,17.34456,95.12067
ဧရာဝတီ,ဇလွန်,17.4781,95.55666
ပဲခူး (ရှေ့),ပဲခူး,17.33583,96.48389
ပဲခူး (ရှေ့),ဘုရားကြီး,17.47538,96.52654
ပဲခူး (ရှေ့),အင်းတကော်,17.18087,96.37637
ပဲခူး (ရှေ့),ဒိုက်ဦး,17.78967,96.66969
ပဲခူး (ရှေ့),ထန်းတပင်,18.8433,96.48376
ပဲခူး (ရှေ့),ကဝ,17.08967,96.46632
ပဲခူး (ရှေ့),သက္ကလ,17.02939,96.59657
ပဲခူး (ရှေ့),ကျောက်ကြီး,18.32764,96.76862
ပဲခူး (ရှေ့),ဖဒို,18.0377,96.5549
ပဲခူး (ရှေ့),ကျောက်တံခါး,18.15867,96.61391
ပဲခူး (ရှေ့),ပဲနွယ်ကုန်း,18.22271,96.56886
ပဲခူး (ရှေ့),မဒေါက်,17.91491,96.84535
ပဲခူး (ရှေ့),ညောင်လေးပင်,17.95323,96.72151
ပဲခူး (ရှေ့),ပိန်းဇလုပ်,18.0699,96.66836
ပဲခူး (ရှေ့),ပြွန်တန်ဆာ,17.87517,96.71597
ပဲခူး (ရှေ့),ကျွဲပွဲ,18.7,96.4099
ပဲခူး (ရှေ့),အုတ်တွင်း,18.83293,96.41363
ပဲခူး (ရှေ့),ကညွတ်ကွင်း,18.3404,96.49218
ပဲခူး (ရှေ့),ဖြူး,18.48438,96.43572
ပဲခူး (ရှေ့),ဇေယျ၀တီ,18.54097,96.43084
ပဲခူး (ရှေ့),ရွှေကျင်,17.92304,96.87767
ပဲခူး (ရှေ့),ကေတုမတီ,19.01432,96.40357
ပဲခူး (ရှေ့),တောင်ငူ,18.93953,96.43314
ပဲခူး (ရှေ့),သနပ်ပင်,17.28903,96.57664
ပဲခူး (ရှေ့),ဝေါ,17.4836,96.68234
ပဲခူး (ရှေ့),ဆွာ,19.26498,96.29072
ပဲခူး (ရှေ့),မြို့လှ,19.40442,96.26628
ပဲခူး (ရှေ့),ရေနီ,19.47438,96.26804
ပဲခူး (ရှေ့),ရေတာရှည်,19.15693,96.34234
ပဲခူး (နောက်),ကြို့ပင်ကောက်,18.22989,95.65259
ပဲခူး (နောက်),လက်ပံတန်း,17.779,95.74529
ပဲခူး (နောက်),မင်းလှ,17.97389,95.70905
ပဲခူး (နောက်),စစ်ကွင်း,17.8941,95.7232
ပဲခူး (နောက်),မိုးညို,18.02719,95.51185
ပဲခူး (နောက်),နတ်တလင်း,18.42753,95.54731
ပဲခူး (နောက်),တာပွန်,18.361,95.4549
ပဲခူး (နောက်),အိုးသည်ကုန်း,18.0432,95.6935
ပဲခူး (နောက်),အုတ်ဖို,18.13022,95.67177
ပဲခူး (နောက်),ဥရှစ်ပင်,18.68519,95.01383
ပဲခူး (နောက်),ပန်းတောင်း,18.71797,95.15353
ပဲခူး (နောက်),ပေါက်ခေါင်း,18.9028,95.54819
ပဲခူး (နောက်),ပေါင်းတည်,18.48947,95.50721
ပဲခူး (နောက်),ပေါင်းတလည်,18.84968,95.38459
ပဲခူး (နောက်),ပြည်,18.82151,95.22103
ပဲခူး (နောက်),ရွှေတောင်,18.7051,95.21404
ပဲခူး (နောက်),သာယာဝတီ,17.65441,95.78629
ပဲခူး (နောက်),သုံးဆယ်,17.62988,95.78985
ပဲခူး (နောက်),အင်းမ,18.52806,95.34904
ပဲခူး (နောက်),ပုတီးကုန်း,18.57236,95.45645
ပဲခူး (နောက်),ဆင်မြီးဆွဲ,18.7369,95.3594
ပဲခူး (နောက်),သဲကုန်း,18.64698,95.41721
ပဲခူး (နောက်),ဇီးကုန်း,18.33846,95.62304
ချင်း,ဖလမ်း,22.91105,93.68034
ချင်း,ရိခေါ်ဒါရ်,23.36097,93.38869
ချင်း,ဝေဘူလ,23.0168,93.9133
ချင်း,ဟားခါး,22.64011,93.60483
ချင်း,ဆူရ်ခွား,22.25553,93.63416
ချင်း,ကန်ပက်လက်,21.19337,94.05666
ချင်း,ကျင်ဒွေး,20.973,93.8382
ချင်း,လိုင်လင်းပီ,21.9592,93.1143
ချင်း,မတူပီ,21.60475,93.44086
ချင်း,ရေဇွာ,22.05289,93.40857
ချင်း,မင်းတပ်,21.37176,93.97365
ချင်း,မကွီအိမ်နူး,21.1727,93.5945
ချင်း,ပလက်ဝ,21.30441,92.85461
ချင်း,ဆမီး,21.29333,93.09649
ချင်း,ခိုင်ကမ်း,23.2175,93.9551
ချင်း,တီးတိန်,23.37058,93.65619
ချင်း,နှာဟရိန်,22.1898,93.4361
ချင်း,ထန်တလန်,22.69843,93.4278
ချင်း,ကျီခါး,23.88976,93.53347
ချင်း,တွန်းဇန်,23.60306,93.69175
ကချင်,ဗန်းမော်,24.25493,97.23441
ကချင်,ချီဖွေ,25.88635,98.12976
ကချင်,ပန်ဝါ,25.59866,98.37863
ကချင်,ဖားကန့်,25.6128,96.31212
ကချင်,ကာမိုင်း,25.5226,96.71153
ကချင်,အင်ဂျန်းယန်,25.82991,97.72671
ကချင်,ခေါင်လန်ဖူး,27.06043,98.36034
ကချင်,မချမ်းဘော,27.28395,97.58937
ကချင်,မံစီ,24.11962,97.29311
ကချင်,မိုးကောင်း,25.30274,96.94038
ကချင်,နမ္မတီး,25.37835,97.00896
ကချင်,ဟိုပင်,24.99183,96.53019
ကချင်,အင်းတော်ကြီး,25.0929,96.2876
ကချင်,မိုးညှင်း,24.77711,96.36493
ကချင်,နန်းမား,24.87399,96.43625
ကချင်,နန့်မွန်း,25.0047,96.3548
ကချင်,ဒေါ့ဖုန်းယန်,24.61398,97.46127
ကချင်,လွယ်ဂျယ်,24.19932,97.72077
ကချင်,မိုးမောက်,24.25095,97.34653
ကချင်,မြစ်ကြီးနား,25.38749,97.39036
ကချင်,ဆင်ဘို,24.77923,97.03917
ကချင်,နောင်မွန်း,27.50532,97.81785
ကချင်,ပန်နန်းဒင်,27.7281,97.87662
ကချင်,ပူတာအို,27.29934,97.4159
ကချင်,မြို့လှ,24.47856,96.65522
ကချင်,ရွှေကူ,24.20695,96.80606
ကချင်,ဆွမ်ပရာဘွမ်,26.54373,97.5677
ကချင်,ရှင်ဗွေယန်,26.69478,96.2094
ကချင်,တနိုင်း,26.35797,96.71655
ကချင်,ဆော့လော်,26.15419,98.27049
ကချင်,ကန်ပိုက်တီ,25.40319,98.11739
ကချင်,ဆဒုံး,25.39709,97.89996
ကချင်,ဝိုင်းမော်,25.35099,97.44281
ကယား,ဘောလခဲ,19.17256,97.34284
ကယား,ရွာသစ်,19.16673,97.4995
ကယား,ဒီးမော့ဆို,19.53832,97.15881
ကယား,နန်းမယ်ခုံ,19.6696,97.1091
ကယား,ဖားဆောင်း,18.87063,97.31592
ကယား,ဖရူဆို,19.41387,97.12799
ကယား,လောပိတ,19.54909,97.32929
ကယား,လွိုင်ကော်,19.67424,97.20993
ကယား,လွိုင်လင်လေး,19.8777,97.2318
ကယား,မယ်စဲ,18.67246,97.66277
ကယား,ရှားတော,19.63174,97.52073
ကရင်,လှိုင်းဘွဲ့,17.12574,97.81871
ကရင်,ပိုင်ကျုံ,17.0217,97.98597
ကရင်,ရှမ်းရွာသစ်,17.42438,97.88778
ကရင်,ဘားအံ,16.88076,97.63691
ကရင်,ဖာပွန်,18.06306,97.44321
ကရင်,ကမမောင်း,17.34688,97.6529
ကရင်,ကော့ကရိတ်,16.55553,98.23996
ကရင်,ကျုံဒိုး,16.59446,98.04353
ကရင်,ဘုရားသုံးဆူ,15.30444,98.37808
ကရင်,ကျိုက်ဒုံ,16.00253,98.39268
ကရင်,ကြာအင်းဆိပ်ကြီး,16.04079,98.12322
ကရင်,မြဝတီ,16.68868,98.51304
ကရင်,စုကလိ,16.15439,98.59621
ကရင်,​ဝေါလေမြိုင် (ဝေါလေ),16.29392,98.71324
ကရင်,ဘောဂလိ,18.91451,96.78565
ကရင်,လိပ်သို,19.22235,96.58097
ကရင်,သံတောင်,19.02175,96.58266
ကရင်,သံတောင်ကြီး,19.07339,96.67547
မကွေး,အောင်လံ,19.35855,95.21684
မကွေး,ချောက်,20.89098,94.81829
မကွေး,စလေ,20.8338,94.7424
မကွေး,ဂန့်ဂေါ,22.17421,94.13582
မကွေး,ကျော,21.92737,94.35789
မကွေး,ကံမ,19.02897,95.09594
မကွေး,မကွေး,20.14027,94.92696
မကွေး,မင်းဘူး,20.17161,94.87518
မကွေး,စကု,20.22609,94.76831
မကွေး,မင်းတုန်း,19.35131,94.73233
မကွေး,မင်းလှ,19.96559,95.0367
မကွေး,မြိုင်,21.61256,94.85432
မကွေး,မြို့သစ်,20.19919,95.44692
မကွေး,နတ်မောက်,20.35339,95.39966
မကွေး,ငဖဲ,20.07538,94.46767
မကွေး,ကမ္မ,21.38358,94.81558
မကွေး,မြစ်ခြေ,21.2454,94.8511
မကွေး,ပခုက္ကူ,21.335,95.08227
မကွေး,ပေါက်,21.45215,94.47374
မကွေး,ပွင့်ဖြူ,20.36334,94.66933
မကွေး,စလင်း,20.5772,94.65936
မကွေး,ဆင်ဖြူကျွန်း,20.6642,94.6929
မကွေး,ကျောက်ထု,21.406,94.136
မကွေး,ဆော,21.15224,94.15466
မကွေး,ဆိပ်ဖြူ,20.90651,94.79243
မကွေး,စေတုတ္ထရာ,20.4466,94.24559
မကွေး,ဆင်ပေါင်ဝဲ,19.72292,95.16186
မကွေး,တောင်တွင်းကြီး,20.00187,95.54614
မကွေး,သရက်,19.3215,95.17716
မကွေး,ထီးလင်း,21.69636,94.09278
မကွေး,ရေနံချောင်း,20.45837,94.8731
မကွေး,ရေစကြို,21.63388,95.2453
မန္တလေး,အမရပူရ,21.90314,96.04948
မန္တလေး,မြစ်ငယ်,21.85418,96.06856
မန္တလေး,အောင်မြေသာဇံ,21.99321,96.09686
မန္တလေး,မန္တလေး,21.9894,96.0921
မန္တလေး,ချမ်းအေးသာဇံ,21.97535,96.0946
မန္တလေး,ချမ်းမြသာစည်,21.9394,96.09584
မန္တလေး,ကျောက်ပန်းတောင်း,20.84248,95.13218
မန္တလေး,ကျောက်ဆည်,21.61325,96.13033
မန္တလေး,မတ္တရာ,22.21036,96.10639
မန္တလေး,မဟာအောင်မြေ,21.97535,96.0946
မန္တလေး,မလှိုင်,21.09867,95.64698
မန္တလေး,မိတ္ထီလာ,20.88189,95.86311
မန္တလေး,မိုးကုတ်,22.92139,96.5054
မန္တလေး,မြင်းခြံ,21.45745,95.39179
မန္တလေး,ဆီမီးခုံ,21.735,95.4221
မန္တလေး,ကူမဲ,21.3583,96.1603
မန္တလေး,မြစ်သား,21.42427,96.13086
